"","variable","value"
"1","flash",0.0221879920376436
"2","flash",0.0211671152292907
"3","flash",0.0209929603600868
"4","flash",0.0224814880486957
"5","flash",0.0214762084645785
"6","flash",0.0214278899907633
"7","flash",0.0215952865957482
"8","flash",0.0220237507022101
"9","flash",0.0233125213150356
"10","flash",0.020408308018934
"11","flash",0.0218355274291234
"12","flash",0.0221202758228436
"13","flash",0.0216938883417177
"14","flash",0.0210627488439961
"15","flash",0.0220487476967224
"16","flash",0.020916253728504
"17","flash",0.021676700145997
"18","flash",0.0217260151199999
"19","flash",0.0214566972504195
"20","flash",0.0207500265048511
"21","flash",0.022475404234491
"22","flash",0.0224553355512016
"23","flash",0.0218912480058948
"24","flash",0.02188624559467
"25","flash",0.0193265787763179
"26","flash",0.0227667506091036
"27","flash",0.0210688113350772
"28","flash",0.0208280584436326
"29","flash",0.0221925512318173
"30","flash",0.0215661808860633
"31","flash",0.0209754615331323
"32","flash",0.0217221346400929
"33","flash",0.0215864091168384
"34","flash",0.0214289801443721
"35","flash",0.0214695970233989
"36","flash",0.0224679701924396
"37","flash",0.0221094473368589
"38","flash",0.0216609981649901
"39","flash",0.0217115115884192
"40","flash",0.0226342876826523
"41","flash",0.020777255575143
"42","flash",0.0227448038461725
"43","flash",0.0213469669584543
"44","flash",0.0208418437144619
"45","flash",0.020597294611107
"46","flash",0.0216539039426016
"47","flash",0.0222754927895933
"48","flash",0.0221211064801633
"49","flash",0.0227713669969019
"50","flash",0.0213096967005503
"51","flash2",0.0221860639899691
"52","flash2",0.021157166579498
"53","flash2",0.0209642198087904
"54","flash2",0.0226218853154251
"55","flash2",0.0214109640458665
"56","flash2",0.0214648978839765
"57","flash2",0.0216297286469873
"58","flash2",0.0221288470599742
"59","flash2",0.0232538969301212
"60","flash2",0.0204349606819101
"61","flash2",0.021866859664427
"62","flash2",0.021897568459677
"63","flash2",0.0216991804144035
"64","flash2",0.0210121594432894
"65","flash2",0.0220406750230023
"66","flash2",0.0209223390679411
"67","flash2",0.0216826104859649
"68","flash2",0.0217776876270078
"69","flash2",0.0212979946584877
"70","flash2",0.0206552242114682
"71","flash2",0.022404155362691
"72","flash2",0.0224726909330901
"73","flash2",0.0218093325627755
"74","flash2",0.0218598060209362
"75","flash2",0.0193609571109965
"76","flash2",0.0228150876713297
"77","flash2",0.0210346366806216
"78","flash2",0.0208067153139214
"79","flash2",0.0222080944136266
"80","flash2",0.0215874802730226
"81","flash2",0.0209842516269102
"82","flash2",0.0217611122783428
"83","flash2",0.0215411293067017
"84","flash2",0.0212794640120432
"85","flash2",0.0215144934329059
"86","flash2",0.0224154059407373
"87","flash2",0.0221232528514774
"88","flash2",0.0216396101577283
"89","flash2",0.021711419348857
"90","flash2",0.0226129995742876
"91","flash2",0.0207499968578383
"92","flash2",0.0227610845928632
"93","flash2",0.0213459819827617
"94","flash2",0.0207830254046455
"95","flash2",0.0205306909613063
"96","flash2",0.0217395317336369
"97","flash2",0.0223782831904953
"98","flash2",0.0220879786202704
"99","flash2",0.0228205848997176
"100","flash2",0.021292433658697
"101","flash_backfit",0.0221860694631225
"102","flash_backfit",0.0211572050578065
"103","flash_backfit",0.0209642389868863
"104","flash_backfit",0.0226219097948841
"105","flash_backfit",0.0214110142227238
"106","flash_backfit",0.021464650879157
"107","flash_backfit",0.02162975860665
"108","flash_backfit",0.022128853838967
"109","flash_backfit",0.0232539369328931
"110","flash_backfit",0.0204349852951839
"111","flash_backfit",0.0218669193028114
"112","flash_backfit",0.0218975632166583
"113","flash_backfit",0.0216992116736855
"114","flash_backfit",0.0210121754338447
"115","flash_backfit",0.0220406749486369
"116","flash_backfit",0.0209223377543529
"117","flash_backfit",0.0216826492504448
"118","flash_backfit",0.0217776770690075
"119","flash_backfit",0.0212980403564321
"120","flash_backfit",0.0206552267663371
"121","flash_backfit",0.0224041243181075
"122","flash_backfit",0.0224726944460807
"123","flash_backfit",0.0218093157636577
"124","flash_backfit",0.0218598438824522
"125","flash_backfit",0.0193609803148375
"126","flash_backfit",0.0228151252166838
"127","flash_backfit",0.0210346243556775
"128","flash_backfit",0.020806691175105
"129","flash_backfit",0.0222081217792152
"130","flash_backfit",0.0215874754250431
"131","flash_backfit",0.020984266958859
"132","flash_backfit",0.0217611320168857
"133","flash_backfit",0.0215411263009319
"134","flash_backfit",0.0212794664172349
"135","flash_backfit",0.0215145211570127
"136","flash_backfit",0.0224154259516469
"137","flash_backfit",0.0221232882289349
"138","flash_backfit",0.0216395924764136
"139","flash_backfit",0.0217114366579779
"140","flash_backfit",0.0226130231386638
"141","flash_backfit",0.0207500188215231
"142","flash_backfit",0.0227611302834063
"143","flash_backfit",0.0213459831825216
"144","flash_backfit",0.0207830120398665
"145","flash_backfit",0.020530668957694
"146","flash_backfit",0.021739532471711
"147","flash_backfit",0.022378321374345
"148","flash_backfit",0.0220879571384925
"149","flash_backfit",0.022820600751012
"150","flash_backfit",0.0212924334890339
"151","PMD",0.023117509176786
"152","PMD",0.0223421260511171
"153","PMD",0.0226230336449076
"154","PMD",0.0230489769007479
"155","PMD",0.0227224544573107
"156","PMD",0.0221393072002624
"157","PMD",0.0226263944480657
"158","PMD",0.0225653251572251
"159","PMD",0.0245570674856059
"160","PMD",0.0219155454015097
"161","PMD",0.022524325019444
"162","PMD",0.0233485537264988
"163","PMD",0.0227659103706839
"164","PMD",0.0222124431941339
"165","PMD",0.0231221509278642
"166","PMD",0.0223666784636307
"167","PMD",0.0228613070350824
"168","PMD",0.0225113742698562
"169","PMD",0.0229697311153325
"170","PMD",0.0223162312556021
"171","PMD",0.0235285254130003
"172","PMD",0.0232333476302215
"173","PMD",0.0231799593245138
"174","PMD",0.0230836695816436
"175","PMD",0.020893967701641
"176","PMD",0.0236129522658465
"177","PMD",0.0221346975064591
"178","PMD",0.0221477388740372
"179","PMD",0.02298176239924
"180","PMD",0.0223525833166359
"181","PMD",0.0222867532073933
"182","PMD",0.0222855995923315
"183","PMD",0.0227445054350473
